"Year","pop","stock","prod","tot.land","ag.land","un.land","pc.supply","yield","pgrowth","agrowth","bfcn"
1998,5.984793942,4.74823160734,6.891575,12.9994356,4.90797474,3.392100972,0.793382638292344,1.40415861227517,1.35050864740221,0.298301107651669,1.17444072647629
1999,6.064239055,4.87690767449,7.034285,13.0001138,4.91102791,3.390904188,0.804207688756755,1.43234474104221,1.32744942883449,0.0622083478775254,0.665136953968467
2000,6.143493823,4.98747832548,7.11038,12.9982068,4.9151631,3.390642873,0.81183093353295,1.4466213745786,1.3069202464018,0.0842021278596136,0.713489981225845
2001,6.222626606,5.05704367581,7.213095,12.99809462,4.9111779608,3.391078167,0.812686345494985,1.46870975916031,1.2880745920789,-0.0810784732657213,0.355850143887111
2002,6.301773188,5.14829598485,7.343488,12.99787642,4.89785695,3.390440211,0.816959898628773,1.49932676167686,1.27191597714839,-0.271238609277143,-0.057028317698541
2003,6.381185114,5.23801765661,7.515947,12.99786687,4.88186731,3.390748263,0.820853425035116,1.53956396655935,1.26015208150014,-0.326461964145376,-0.178389476003744
2004,6.461159389,5.3528023904,7.819531,12.99769475,4.84568,3.385979703,0.82845849608865,1.61371180102689,1.25328247921442,-0.741259598061461,-1.0812256655114
2005,6.541907027,5.45751780437,7.863815,12.99768828,4.85592565,3.384939285,0.834239585161564,1.61942656597306,1.24973914337217,0.211438848623945,0.984803509115309
2006,6.623517833,5.56382862775,8.03758,12.9971704,4.85200027,3.384047817,0.840011119171392,1.65654978415737,1.2475078851346,-0.0808369049060909,0.350899528004558
2007,6.70594661,5.70277409349,8.451318,12.9971544,4.8469642,3.381534441,0.850405531858238,1.74363119909159,1.24448637534153,-0.103793687546501,0.300719033204149
2008,6.789088686,5.83160721494,8.81971,12.99555082,4.83754376,3.380006628,0.858967600020537,1.82317937316189,1.23982609518567,-0.194357532081636,0.103193558741304
2009,6.872767093,5.90650974944,8.794722,12.99538773,4.83135666,3.378608199,0.859407814860459,1.82034211483778,1.23254255276642,-0.12789755104975,0.246982968924246
2010,6.956823603,6.03380394453,8.926302,12.99561499,4.83589603,3.375719685,0.867321681396095,1.84584241361368,1.22303737144843,0.0939564250675856,0.729927400980808
2011,7.041194301,6.17850624696,9.382035,12.99567279,4.81834784,3.37324122,0.877479868164201,1.94714771775381,1.21277615783756,-0.362873599662588,-0.265282743330737
